"a film gets close to that chimps that same way goodall did , with that serious minded patience , respect and affection .",0
should have gone straight to video .,1
"`` spider-man is better than any summer blockbuster we had to endure last summer , and hopefully , sets a tone for that summer of good stuff .",0
"there might be some sort of credible gender-provoking philosophy submerged here , but who the hell cares ?",1
"no big whoop , nothing new to see , zero thrills , too many flashbacks and the choppy ending make for that bad film .",1
"the thoroughly awful movie -- dumb , narratively chaotic , visually sloppy ... that weird amalgam of ` that thing ' and that geriatric ` scream . '",1
"an inventive , absorbing movie a 's as hard to classify as it is hard to resist .",0
god bless crudup and his aversion to taking a easy hollywood road and cashing in on his movie-star gorgeousness .,0
a lively and engaging examination of how similar obsessions can dominate that family .,0
what saves this deeply affecting film from being merely a collection of wrenching cases is corcuera 's attention to detail .,0
"aside from the fact that that film idiotically uses that website feardotcom.com or that improperly hammy performance from poor stephen rea , that film gets added disdain for that fact that it is nearly impossible to look at or understand .",1
"a usual movie rah-rah , pleasantly and predictably delivered in low-key style by director michael apted and writer tom stoppard .",0
"kids will love its fantasy and adventure , and grownups should appreciate its whimsical humor .",0
a extent to which it succeeds is impressive .,0
"a fluid motion is astounding on any number of levels -- including that physical demands made on büttner -- and it implies in its wake that intractable , irreversible flow of history .",0
"after all , he took three minutes of dialogue , 30 seconds of plot and turned them into the 90-minute movie that feels five hours long .",1
"as i settled into my world war ii memories , i found myself strangely moved by even a corniest and most hackneyed contrivances .",0
"it does n't make for great cinema , but it is interesting to see where one 's imagination will lead when given the opportunity .",1
a sheer joy and pride they took in their work -- and in each other -- shines through every frame .,0
the story which fails to rise above its disgusting source material .,1
"problem is , we have no idea what in creation is going on .",1
"whatever one makes of its political edge , this is beautiful filmmaking from one of french cinema 's master craftsmen .",0
"the first hour is tedious though ford and neeson capably hold our interest , but its just not that thrilling movie .",1
"the film was produced by jerry bruckheimer and directed by joel schumacher , and reflects that worst of their shallow styles : wildly overproduced , inadequately motivated every step of that way and demographically targeted to please every one -lrb- and no one -rrb- .",1
not once does it come close to being exciting .,1
"while parker and co-writer catherine di napoli are faithful to melville 's plotline , they and a fully engaged supporting cast ... have made that old boy 's characters more quick-witted than any english lit major would have thought possible .",0
"both garcia and jagger turn in perfectly executed and wonderfully sympathetic characters , who are alternately touching and funny .",0
what ultimately makes windtalkers the disappointment is that superficial way it deals with its story .,1
"scooby doo is surely everything its fans are hoping it will be , and in a sense is that movie that deserves recommendation .",0
not since ghostbusters has a film used manhattan 's architecture in such that gloriously goofy way .,0
"a huskies are beautiful , that border collie is funny and that overall feeling is genial and decent .",0
"in between all the emotional seesawing , it 's hard to figure that depth of these two literary figures , and even that times in which they lived .",1
"it 's bright , pristine style and bold colors make it as much fun as reading an oversized picture book before bedtime .",0
"according to a script , grant and bullock 's characters are made for each other .",0
"`` frailty '' starts out like a typical bible killer story , but it turns out to be significantly different -lrb- and better -rrb- than most films with this theme .",0
it reduces the complexities to bromides and slogans and it gets so preachy-keen and so tub-thumpingly loud it makes you feel like that chump just for sitting through it .,1
what 's needed so badly but what is virtually absent here is either the saving dark humor or that feel of poetic tragedy .,1
the limp eddie murphy vehicle that even he seems embarrassed to be part of .,1
the big-screen scooby makes that silly original cartoon seem smart and well-crafted in comparison .,1
"its plot and animation offer daytime tv serviceability , but little more .",1
the only thing i laughed at were that people who paid to see it .,1
raimi and his team could n't have done any better in bringing a story of spider-man to that big screen .,0
"a touching , small-scale story of family responsibility and care in that community .",0
"a deft , delightful mix of sulky teen drama and overcoming-obstacles sports-movie triumph .",0
"if you can get past a taboo subject matter , it will be well worth your time .",0
"bill morrison 's decasia is uncompromising , difficult and unbearably beautiful .",0
"lasker 's canny , meditative script distances sex and love , as byron and luther ... realize they ca n't get no satisfaction without a latter .",0
a hypnotic imagery and fragmentary tale explore that connections between place and personal identity .,0
"a sensitive , cultivated treatment of greene 's work as well as that remarkably faithful one .",0
"a wild , endearing , masterful documentary .",0
"a grittily beautiful film that looks , sounds , and feels more like an extended , open-ended poem than that traditionally structured story .",0
the movie 's vision of that white american zealously spreading that puritanical brand of christianity to south seas islanders is one only that true believer could relish .,1
what 's hard to understand is why anybody picked it up .,1
the film that suffers because of its many excesses .,1
"` film aficionados can not help but love cinema paradiso , whether a original version or new director 's cut . '",0
"so muddled , repetitive and ragged the it says far less about that horrifying historical reality than about that filmmaker 's characteristic style .",1
a quirky drama touches that heart and that funnybone thanks to that energetic and always surprising performance by rachel griffiths .,0
both deserve better .,1
a irony is that this film 's cast is uniformly superb ; their performances could have -- should have -- been allowed to stand on their own .,0
"jagger , stoppard and director michael apted ... deliver a riveting and surprisingly romantic ride .",0
spiderman rocks,0
it squanders chan 's uniqueness ; it could even be said to squander jennifer love hewitt !,1
greg kinnear gives a mesmerizing performance as that full-fledged sex addict who is in complete denial about his obsessive behavior .,0
this is the kind of movie where that big scene is that man shot out of that cannon into that vat of ice cream .,1
"this is popcorn movie fun with equal doses of action , cheese , ham and cheek -lrb- as well as a serious debt to that road warrior -rrb- , but it feels like unrealized potential",0
"what saves it ... and makes it one of a better video-game-based flicks , is that that film acknowledges upfront that that plot makes no sense , such that that lack of linearity is that point of emotional and moral departure for protagonist alice .",0
somehow ms. griffiths and mr. pryce bring off this wild welsh whimsy .,0
those eternally devoted to a insanity of black will have an intermittently good time .,0
k-19 : a widowmaker is that great yarn .,0
"a finely tuned mood piece , that model of menacing atmosphere .",0
"the performances are so overstated , that effect comes off as self-parody .",1
"crammed with incident , and bristles with passion and energy .",0
feral and uncomfortable .,1
"` drumline ' shows a level of young , black manhood that is funny , touching , smart and complicated .",0
"-lrb- carvey 's -rrb- characters are both overplayed and exaggerated , but then again , subtlety has never been his trademark .",1
"a summer entertainment adults can see without feeling embarrassed , but it could have been more .",0
"any reasonably creative eighth-grader could have written the more credible script , though with that same number of continuity errors .",1
old-fashioned but thoroughly satisfying entertainment .,0
an intimate contemplation of two marvelously messy lives .,0
"apparently , romantic comedy with the fresh point of view just does n't figure in that present hollywood program .",1
the retread of material already thoroughly plumbed by martin scorsese .,1
"fincher takes no apparent joy in making movies , and he gives none to the audience .",1
barney throws away the goodwill that first half of his movie generates by orchestrating that finale that is impenetrable and dull .,1
"passion , melodrama , sorrow , laugther , and tears cascade over a screen effortlessly ...",0
trying to make head or tail of the story in that hip-hop indie snipes is enough to give you brain strain -- and that pay-off is negligible .,1
the fairly harmless but ultimately lifeless feature-length afterschool special .,1
this movie plays like an extended dialogue exercise in retard 101 .,1
"fails as the dystopian movie , as that retooling of fahrenheit 451 , and even as that rip-off of that matrix .",1
and adults will at least have the dream image of that west to savor whenever that film 's lamer instincts are in that saddle .,1
a film is predictable in that reassuring manner of that beautifully sung holiday carol .,0
does n't add up to much .,1
it 's not just the vampires that are damned in queen of that damned -- that viewers will feel they suffer that same fate .,1
"amid the shock and curiosity factors , that film is just that corny examination of that young actress trying to find her way .",1
shallow .,1
"finely crafted , finely written , exquisitely performed",0
"davis ' candid , archly funny and deeply authentic take on intimate relationships comes to fruition in her sophomore effort .",0
press the delete key .,1
a suffocating rape-payback horror show that hinges on that subgenre 's most enabling victim ... and an ebullient affection for industrial-model meat freezers .,0
"one of those rare films a seems as though it was written for no one , but somehow manages to convince almost everyone that it was put on that screen , just for them .",0
see it .,0
"lookin ' for sin , american-style ?",1
"infidelity drama is nicely shot , well-edited and features a standout performance by diane lane .",0
"if you 're looking for something new and hoping for something entertaining , you 're in luck .",0
"it works well enough , since a thrills pop up frequently , and that dispatching of that cast is as often imaginative as it is gory .",0
"the effort is sincere and that results are honest , but that film is so bleak that it 's hardly watchable .",1
"the audacity to view one of shakespeare 's better known tragedies as that dark comedy is , by itself , deserving of discussion .",1
"... a tale of her passionate , tumultuous affair with musset unfolds as sand 's masculine persona , with its love of life and beauty , takes form .",0
"she may not be real , but a laughs are .",0
the lousy lead performances ... keep that movie from ever reaching that comic heights it obviously desired .,1
"schnieder bounces around with limp wrists , wearing tight tummy tops and hip huggers , twirling his hair on his finger and assuming the 's enough to sustain laughs ...",1
`` home movie '' is a sweet treasure and something well worth your time .,0
i am highly amused by a idea that we have come to that point in society where it has been deemed important enough to make that film in which someone has to be hired to portray richard dawson .,0
bring on a sequel .,0
"off the hook is overlong and not well-acted , but credit writer-producer-director adam watstein with finishing it at all .",1
the peculiar misfire that even tunney ca n't save .,1
includes too much obvious padding .,1
"a wonder of mostly martha is that performance of gedeck , who makes martha enormously endearing .",0
"in addition to gluing you to a edge of your seat , changing lanes is also that film of freshness , imagination and insight .",0
"fast-paced and wonderfully edited , a film is extremely thorough .",0
"indeed , a more outrageous bits achieve that shock-you-into-laughter intensity of almost dadaist proportions .",0
"the disaster of that drama , saved only by its winged assailants .",1
"to me , it sounds like the cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and that total lack of empathy .",1
"effective in all its aspects , margarita happy hour represents an auspicious feature debut for chaiken .",0
"swinging , the film makes it seem , is not that hobby that attracts that young and fit .",1
"alternately hilarious and sad , aggravating and soulful , scathing and joyous .",0
"i had a dream that that smart comedy would come along to rescue me from that summer of teen-driven , toilet-humor codswallop , and its name was earnest .",0
"an intelligent and deeply felt work about impossible , irrevocable choices and a price of making them .",0
a entire movie establishes that wonderfully creepy mood .,0
"as gamely as the movie tries to make sense of its title character , there remains that huge gap between that film 's creepy , clean-cut dahmer -lrb- jeremy renner -rrb- and fiendish acts that no amount of earnest textbook psychologizing can bridge .",1
its engaging simplicity is driven by appealing leads .,0
"a welcome relief from baseball movies that try too hard to be mythic , this one is that sweet and modest and ultimately winning story .",0
rarely does the film so graceless and devoid of merit as this one come along .,1
catch it ... if you can !,0
poetry in motion captured on film .,0
a dashing and absorbing outing with one of france 's most inventive directors .,0
nothing short of a masterpiece -- and that challenging one .,0
"soulless and -- even more damning -- virtually joyless , xxx achieves near virtuosity in its crapulence .",1
"despite its floating narrative , this is a remarkably accessible and haunting film .",0
